***SESSION HEADER***
{
  "Participant": "SZ201023RCH",
  "Timestamp": "08-37-35-23-10-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
31055.3615;(0.0000, 1.4922, 0.0000);39.1898;0.0000;Infinity;;
31055.4562;(121.2062, 13.7478, 130.6351);38.7086;0.2625;187.7967;;
31055.5041;(121.2062, 13.6537, 130.6351);38.7086;0.2625;153.1548;;
31055.5570;(121.2062, 13.5516, 130.6351);38.7086;0.2625;125.2131;;
31055.6088;(121.2062, 13.3397, 130.6351);38.7086;0.2625;109.5535;;
31055.6567;(121.2062, 13.1592, 130.6351);38.7086;0.2625;116.4422;;
31055.7056;(121.2062, 12.8296, 130.6351);38.7086;0.2625;120.5472;;
31055.7535;(121.2062, 12.5706, 130.6351);38.7086;0.2625;122.2379;;
31055.8023;(121.2062, 12.1233, 130.6351);38.7086;0.2625;123.2389;;
31055.8512;(121.2062, 11.8317, 130.6351);38.7086;0.2625;123.1925;;
31055.9179;(121.2062, 11.8317, 130.6351);38.7086;0.2625;111.6485;;
31055.9528;(121.2062, 11.8317, 130.6351);38.7086;0.2625;113.1316;;
31056.0027;(121.2062, 11.8317, 130.6351);38.7086;0.2625;117.1462;;
31056.0531;(121.2062, 11.8317, 130.6351);38.7086;0.2625;106.1314;;
31056.1082;(121.2062, 11.8317, 130.6351);38.7086;0.2625;117.6425;;
31056.1561;(121.2062, 11.8317, 130.6351);38.7086;0.2625;121.2327;;
31056.2050;(121.2062, 11.8317, 130.6351);38.7086;0.2625;123.1621;;
31056.2538;(121.2062, 11.8317, 130.6351);38.7086;0.2625;123.9118;;
31056.3027;(121.2062, 11.8317, 130.6351);38.7086;0.2625;124.1275;;
31056.3506;(121.2062, 11.8317, 130.6351);38.7086;0.2625;124.0400;;
31056.4104;(121.2062, 11.8317, 130.6351);38.7086;0.2625;120.6600;;
31056.4583;(121.2062, 11.8317, 130.6351);38.7086;0.2625;121.3437;;
31056.5082;(121.2062, 11.8317, 130.6351);38.7086;0.2625;121.0529;;
31056.5560;(121.2062, 11.8317, 130.6351);38.7086;0.2625;121.1964;;
31056.6129;(121.2062, 11.8317, 130.6351);38.7086;0.2625;110.9892;;
31056.6558;(121.2062, 11.8317, 130.6351);38.7086;0.2625;114.1439;;
31056.7046;(121.2062, 11.8317, 130.6351);38.7086;0.2625;118.0168;;
31056.7535;(121.2062, 11.8317, 130.6351);38.7086;0.2625;119.5145;;
31056.8024;(121.2062, 11.8317, 130.6351);38.7086;0.2625;121.2343;;
31056.8513;(121.2062, 11.8317, 130.6351);38.7086;0.2625;122.1514;;
31056.9181;(121.2062, 11.8317, 130.6351);38.7086;0.2625;110.4311;;
31056.9520;(121.2062, 11.8317, 130.6351);38.7086;0.2625;112.0219;;
31057.0018;(121.2062, 11.8317, 130.6351);38.7086;0.2625;117.1317;;
31057.0178;(121.2062, 11.8317, 130.6351);38.7086;0.2625;118.4625;RMB;
31057.0587;(121.2062, 11.8317, 130.6351);37.9829;0.6584;119.2775;;
31057.1086;(121.2062, 11.8317, 130.6351);37.4104;0.9707;120.1293;;
31057.1564;(121.2062, 11.8317, 130.6351);37.0564;1.1637;122.2659;;
31057.2093;(121.2062, 11.8317, 130.6351);36.8167;1.2945;118.6283;;
31057.2582;(121.2062, 11.8317, 130.6351);36.6775;1.3704;119.6105;;
31057.3071;(121.2062, 11.8317, 130.6351);36.5897;1.4183;109.9899;;
31057.3509;(121.2062, 11.8317, 130.6351);36.5388;1.4460;111.8333;;
31057.4188;(121.2062, 11.8317, 130.6351);36.4923;1.4714;105.4944;;
31057.4527;(121.2062, 11.8317, 130.6351);36.4777;1.4794;109.1040;;
31057.5025;(121.2062, 11.8317, 130.6351);36.4638;1.4870;114.4451;;
31057.5589;(121.2062, 11.8317, 130.6351);36.4538;1.4924;118.6006;;
31057.6018;(121.2062, 11.8317, 130.6351);36.4492;1.4949;118.6407;;
31057.6606;(121.2062, 11.8317, 130.6351);36.4452;1.4971;118.0264;;
31057.7025;(121.2062, 11.8317, 130.6351);36.4435;1.4980;118.7545;;
31057.7584;(121.2062, 11.8317, 130.6351);36.4420;1.4988;110.0300;;
31057.8092;(121.2062, 11.8317, 130.6351);36.4412;1.4993;114.8634;;
31057.8531;(121.2062, 11.8317, 130.6351);36.4407;1.4995;104.3507;;
31057.9110;(121.2062, 11.8317, 130.6351);36.4403;1.4997;111.9153;;
31057.9518;(121.2062, 11.8317, 130.6351);36.4402;1.4998;114.5010;;
31058.0087;(121.2062, 11.8317, 130.6351);36.4400;1.4999;108.4186;;
31058.0516;(121.2062, 11.8317, 130.6351);36.4399;1.4999;110.9749;;
31058.1084;(121.2062, 11.8317, 130.6351);36.4399;1.5000;117.4905;;
31058.1563;(121.2062, 11.8317, 130.6351);36.4399;1.5000;120.9350;;
31058.2022;(121.2062, 11.8317, 130.6351);36.4399;1.5000;116.1717;;
31058.2580;(121.2062, 11.8317, 130.6351);36.4398;1.5000;119.8273;;
31058.3079;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.3348;;
31058.3568;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.9516;;
31058.4056;(121.2062, 11.8317, 130.6351);36.4398;1.5000;122.0436;;
31058.4545;(121.2062, 11.8317, 130.6351);36.4398;1.5000;122.1844;;
31058.5044;(121.2062, 11.8317, 130.6351);36.4398;1.5000;122.1854;;
31058.5527;(121.2062, 11.8317, 130.6351);36.4398;1.5000;123.1206;;
31058.6046;(121.2062, 11.8317, 130.6351);36.4398;1.5000;119.1723;;
31058.6545;(121.2062, 11.8317, 130.6351);36.4398;1.5000;119.5979;;
31058.7033;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.9577;;
31058.7522;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.0698;;
31058.8021;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.2715;;
31058.8549;(121.2062, 11.8317, 130.6351);36.4398;1.5000;109.4515;;
31058.9058;(121.2062, 11.8317, 130.6351);36.4398;1.5000;113.6496;;
31058.9537;(121.2062, 11.8317, 130.6351);36.4398;1.5000;118.2569;;
31059.0035;(121.2062, 11.8317, 130.6351);36.4398;1.5000;118.8079;;
31059.0522;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.7087;;
31059.1080;(121.2062, 11.8317, 130.6351);36.4398;1.5000;123.5035;;
31059.1569;(121.2062, 11.8317, 130.6351);36.4398;1.5000;123.6798;;
31059.2097;(121.2062, 11.8317, 130.6351);36.4398;1.5000;119.9793;;
31059.2586;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.0177;;
31059.3075;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.4808;;
31059.3574;(121.2062, 11.8317, 130.6351);36.4398;1.5000;119.6174;;
31059.4062;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.6818;;
31059.4551;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.8532;;
31059.5050;(121.2062, 11.8317, 130.6351);36.4398;1.5000;122.3437;;
31059.5528;(121.2062, 11.8317, 130.6351);36.4398;1.5000;123.7982;;
31059.6057;(121.2062, 11.8317, 130.6351);36.4398;1.5000;118.8834;;
31059.6546;(121.2062, 11.8317, 130.6351);36.4398;1.5000;119.9376;;
31059.7034;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.1233;;
31059.7533;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.7269;;
31059.8042;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.3217;;
31059.8550;(121.2062, 11.8317, 130.6351);36.4398;1.5000;117.9884;;
31059.9059;(121.2062, 11.8317, 130.6351);36.4398;1.5000;117.8395;;
31059.9548;(121.2062, 11.8317, 130.6351);36.4398;1.5000;118.6998;;
31060.0046;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.2296;;
31060.0535;(121.2062, 11.8317, 130.6351);36.4398;1.5000;122.5299;;
31060.1014;(121.2062, 11.8317, 130.6351);36.4398;1.5000;124.0839;;
31060.1608;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.5845;;
31060.2027;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.1064;;
31060.2586;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.5775;;
31060.3084;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.6870;;
31060.3573;(121.2062, 11.8317, 130.6351);36.4398;1.5000;122.0187;;
31060.4072;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.6130;;
31060.4510;(121.2062, 11.8317, 130.6351);36.4398;1.5000;108.3142;;
31060.5089;(121.2062, 11.8317, 130.6351);36.4398;1.5000;114.5857;;
31060.5578;(121.2062, 11.8317, 130.6351);36.4398;1.5000;118.0343;;
31060.6066;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.2239;;
31060.6555;(121.2062, 11.8317, 130.6351);36.4398;1.5000;120.0405;;
31060.7044;(121.2062, 11.8317, 130.6351);36.4398;1.5000;121.6517;;
31060.7572;(121.2062, 11.8317, 130.6351);36.4398;1.5000;108.5780;;
31060.8071;(121.2062, 11.8317, 130.6351);36.4398;1.5000;113.5252;;
31060.8560;(121.2062, 11.8317, 130.6351);36.4398;1.5000;116.7042;;
31060.9058;(121.2062, 11.8317, 130.6351);36.4398;1.5000;117.7787;;
31060.9397;(121.2062, 13.7635, 130.6351);36.4398;1.5000;117.4144;ě;
31060.9547;(121.2062, 13.5635, 130.6351);36.4398;1.5000;101.5032;;
31061.0046;(121.2062, 12.9164, 130.6351);36.4398;1.5000;108.2533;;
31061.0564;(121.2062, 12.4458, 130.6351);36.4398;1.5000;110.8109;;
31061.1093;(121.2062, 11.8317, 130.6351);36.4398;1.5000;112.4263;;
31061.1601;(121.2062, 11.8317, 130.6351);36.4398;1.5000;113.5627;;
31061.2040;(121.2062, 11.8317, 130.6351);36.4398;1.5000;114.9031;;
31061.2549;(121.2062, 11.8317, 130.6351);36.4398;1.5000;116.0752;;
31061.3018;(121.2062, 11.8317, 130.6351);36.4398;1.5000;104.9390;;
31061.3526;(121.2062, 11.8317, 130.6351);36.4398;1.5000;110.8163;;
31061.4055;(121.2062, 11.8317, 130.6351);36.4398;1.5000;112.4295;;
31061.4559;(121.2062, 11.8317, 130.6351);36.4398;1.5000;114.9251;;
31061.5017;(121.2062, 11.8317, 130.6351);36.4398;1.5000;113.4347;;
31061.5526;(121.2062, 11.8317, 130.6351);36.4398;1.5000;114.6571;;
31061.6075;(121.2062, 11.8317, 130.6351);36.4398;1.5000;113.5747;;
31061.6583;(121.2062, 11.8317, 130.6351);36.4398;1.5000;115.2078;;
31061.7032;(121.2062, 11.8317, 130.6351);36.4398;1.5000;114.1688;;
31061.7541;(121.2062, 11.8317, 130.6351);36.4398;1.5000;115.2961;;
31061.8070;(121.2062, 11.8317, 130.6351);36.4398;1.5000;114.0993;;
31061.8585;(121.2062, 11.8317, 130.6351);36.4398;1.5000;115.1097;;
31061.9014;(121.2062, 11.8317, 130.6351);36.4398;1.5000;115.9350;;
31061.9544;(121.2062, 11.8317, 130.6351);36.4398;1.5000;104.9155;;
31062.0013;(121.2062, 11.8317, 130.6351);36.4398;1.5000;105.0550;;
31062.0536;(121.2062, 11.8317, 130.6351);36.4398;1.5000;109.1476;;
31062.1055;(121.2062, 11.8317, 130.6351);36.4398;1.5000;111.2673;;
